,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%
defFT[5],-0.0079,0.0659,0.0012,0.0039,-0.1379,-0.0502,-0.0084,0.0337,0.1228
defFT[6],-0.0028,0.0753,0.0014,0.0049,-0.1462,-0.0498,-0.0031,0.0407,0.1571
defFT[7],0.0198,0.072,0.0013,0.0046,-0.1233,-0.0253,0.0193,0.0644,0.1694
defFT[8],0.0058,0.0678,0.0012,0.004,-0.1259,-0.0362,0.0042,0.0468,0.1434
defFT[9],0.0353,0.069,0.0013,0.0043,-0.0995,-0.0105,0.0332,0.0801,0.1745
defFT[10],-0.0351,0.0719,0.0013,0.0042,-0.1872,-0.0818,-0.031,0.0131,0.0996
defFT[11],0.0378,0.0679,0.0012,0.0043,-0.0879,-0.0089,0.0349,0.0791,0.1816
defFT[12],-0.0022,0.0695,0.0013,0.0042,-0.147,-0.0439,-0.0017,0.042,0.1282
defFT[13],-0.0232,0.074,0.0014,0.0048,-0.1733,-0.0698,-0.0192,0.0268,0.1186
defFT[14],0.0023,0.0645,0.0012,0.0039,-0.1243,-0.0377,0.0025,0.0456,0.1239
defFT[15],0.0034,0.069,0.0013,0.0042,-0.1304,-0.0428,0.0036,0.0487,0.1369
defFT[16],0.0406,0.0717,0.0013,0.0047,-0.1004,-0.0052,0.0408,0.0882,0.179
defFT[17],0.0132,0.0688,0.0013,0.0044,-0.1173,-0.0304,0.0105,0.054,0.158
defFT[18],0.0266,0.071,0.0013,0.0048,-0.113,-0.0198,0.026,0.0701,0.1723
defFT[19],-0.0134,0.0663,0.0012,0.0039,-0.1464,-0.0557,-0.0129,0.0308,0.111
defFT[20],-0.0046,0.0657,0.0012,0.0036,-0.1299,-0.0486,-0.0055,0.0384,0.1244
defFT[21],-0.0049,0.0652,0.0012,0.0037,-0.1341,-0.0488,-0.0044,0.0388,0.1233
defFT[22],-0.0099,0.0708,0.0013,0.0044,-0.1528,-0.056,-0.0085,0.0362,0.1306
defFT[23],-0.0185,0.07,0.0013,0.0044,-0.1548,-0.0635,-0.0202,0.0248,0.1271
defFT[24],0.0118,0.0702,0.0013,0.0045,-0.1237,-0.0332,0.0103,0.0522,0.1656
defFT[25],-0.0205,0.0659,0.0012,0.0037,-0.1531,-0.0618,-0.0215,0.024,0.1053
defFT[26],0.0301,0.0657,0.0012,0.0038,-0.0916,-0.0125,0.0281,0.0711,0.1726
defFT[27],-0.0403,0.0744,0.0014,0.0048,-0.1971,-0.0855,-0.0362,0.0072,0.0993
defFT[28],-0.0219,0.0713,0.0013,0.0044,-0.1761,-0.0664,-0.0199,0.0245,0.1123
defFT[29],0.0163,0.0681,0.0012,0.0044,-0.1101,-0.0298,0.0165,0.0569,0.1617
defFT[30],-0.0046,0.067,0.0012,0.0039,-0.1418,-0.0485,-0.0038,0.0391,0.122
homeFT,0.0847,0.0645,0.0012,0.0136,-0.025,0.043,0.0823,0.1216,0.2289
cFT,2.8721,0.0419,0.0008,0.008,2.7889,2.847,2.8729,2.8981,2.957
,,,,,,,,,
