,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
att2PT[22],-0.1485,0.0199,0.0004,0.0005,-0.1869,-0.1621,-0.1489,-0.1348,-0.1085,,,,,,,,,,,
att2PT[23],0.0604,0.0182,0.0003,0.0004,0.0235,0.0485,0.0609,0.0728,0.0955,,,,,,,,,,,
att2PT[24],0.1107,0.0184,0.0003,0.0004,0.0742,0.0982,0.1109,0.1232,0.1467,,,,,,,,,,,
att2PT[25],-0.0317,0.0189,0.0003,0.0004,-0.0699,-0.0448,-0.0312,-0.0186,0.0053,,,,,,,,,,,
att2PT[26],-0.0363,0.0193,0.0004,0.0005,-0.0738,-0.0489,-0.0362,-0.0235,0.0019,,,,,,,,,,,
att2PT[27],-0.0339,0.0192,0.0003,0.0004,-0.0708,-0.0468,-0.0339,-0.0204,0.0028,,,,,,,,,,,
att2PT[28],0.0340,0.0190,0.0003,0.0005,-0.0028,0.0208,0.0341,0.0470,0.0716,,,,,,,,,,,
att2PT[29],0.0844,0.0180,0.0003,0.0004,0.0492,0.0718,0.0844,0.0971,0.1190,,,,,,,,,,,
att2PT[30],0.0422,0.0188,0.0003,0.0004,0.0061,0.0293,0.0423,0.0551,0.0787,,,,,,,,,,,
def2PT[1],-0.0057,0.0189,0.0003,0.0005,-0.0436,-0.0189,-0.0058,0.0073,0.0315,,,,,,,,,,,
def2PT[2],-0.0861,0.0202,0.0004,0.0005,-0.1265,-0.0995,-0.0865,-0.0734,-0.0462,,,,,,,,,,,
def2PT[3],-0.0635,0.0191,0.0003,0.0004,-0.1007,-0.0761,-0.0640,-0.0511,-0.0257,,,,,,,,,,,
def2PT[4],0.0614,0.0189,0.0003,0.0004,0.0232,0.0489,0.0614,0.0742,0.0984,,,,,,,,,,,
def2PT[5],-0.0780,0.0195,0.0004,0.0005,-0.1160,-0.0912,-0.0777,-0.0649,-0.0407,,,,,,,,,,,
def2PT[6],0.0216,0.0190,0.0003,0.0004,-0.0168,0.0091,0.0215,0.0344,0.0593,,,,,,,,,,,
def2PT[7],-0.0495,0.0191,0.0003,0.0004,-0.0856,-0.0629,-0.0496,-0.0367,-0.0119,,,,,,,,,,,
def2PT[8],-0.0157,0.0190,0.0003,0.0004,-0.0525,-0.0283,-0.0155,-0.0024,0.0204,,,,,,,,,,,
def2PT[9],0.1123,0.0182,0.0003,0.0004,0.0778,0.1000,0.1122,0.1242,0.1488,,,,,,,,,,,
def2PT[10],0.0071,0.0186,0.0003,0.0004,-0.0287,-0.0053,0.0072,0.0195,0.0436,,,,,,,,,,,
def2PT[11],0.0317,0.0188,0.0003,0.0004,-0.0046,0.0195,0.0313,0.0451,0.0683,,,,,,,,,,,
